Unit,Category,Bucks,Antlerless,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Sex,Letter,Season,Weapon,Other,PLO,Either sex,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx
51,All Rifle,203,52,255,385,66,1765,NA,NA,NA,NA,NA,R,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 All Rifle,457.4,983,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,Early and Late Seasons (Includes PLOs),67,52,119,168,71,987,NA,NA,NA,NA,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 Early and Late Seasons (Includes PLOs),199.6,428.9,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,2nd Rifle Seasons,60,0,60,89,67,328,NA,O,2,R,Included,Included,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 2nd Rifle Seasons,105.7,227.2,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,3rd Rifle Seasons,53,0,53,83,63,302,NA,O,3,R,Included,Included,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 3rd Rifle Seasons,98.6,211.9,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,4th Rifle Seasons,24,0,24,45,53,149,NA,O,4,R,Included,Included,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 4th Rifle Seasons,53.5,114.9,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,All Archery Seasons,14,21,34,103,33,713,NA,NA,NA,A,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 All Archery Seasons,122.4,263,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,2nd season rifle Antlered (Does not include PLO),60,NA,60,89,67,NA,NA,O,75,R,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 2nd season rifle Antlered (Does not include PLO),105.7,227.2,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,3rd season rifle Antlered (Does not include PLO),53,NA,53,83,63,NA,NA,O,205,R,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 3rd season rifle Antlered (Does not include PLO),98.6,211.9,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,4th  season rifle Antlered (Does not include PLO),24,NA,24,45,53,NA,NA,O,319,R,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 4th  season rifle Antlered (Does not include PLO),53.5,114.9,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,2nd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,2,R,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 2nd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,3rd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,3,R,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 3rd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,4th  season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,4,R,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 4th  season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,Either Sex Muzzleloader,26,15,41,72,57,310,NA,NA,NA,NA,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 Either Sex Muzzleloader,85.5,183.8,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,Antlered Muzzleloader,26,NA,26,44,59,NA,NA,NA,NA,NA,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 Antlered Muzzleloader,52.3,112.3,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
51,Antlerless Muzzleloader,NA,15,15,28,54,NA,NA,NA,NA,NA,NA,NA,NA,  842,  392,47%,39.31583259260264,-105.03814997986343,"  538,646","  250,661",51 Antlerless Muzzleloader,33.3,71.5,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
52,All manners of take,389,161,549,1007,55,4435,NA,NA,NA,NA,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 All manners of take,2300.9,4815.1,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,All Rifle,369,161,529,934,57,4006,NA,NA,NA,NA,NA,R,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 All Rifle,2134.1,4466.1,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,Early and Late Seasons (Includes PLOs),34,161,195,287,68,1554,NA,NA,NA,NA,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 Early and Late Seasons (Includes PLOs),655.8,1372.3,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,2nd Rifle Seasons,225,0,225,430,52,1715,NA,O,2,R,Included,Included,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 2nd Rifle Seasons,982.5,2056.1,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,3rd Rifle Seasons,98,0,98,196,50,681,NA,O,3,R,Included,Included,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 3rd Rifle Seasons,447.8,937.2,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,4th Rifle Seasons,12,0,12,21,57,56,NA,O,4,R,Included,Included,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 4th Rifle Seasons,48,100.4,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,All Archery Seasons,11,0,11,45,24,316,NA,NA,NA,A,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 All Archery Seasons,102.8,215.2,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,2nd season rifle Antlered (Does not include PLO),101,NA,101,245,41,NA,NA,O,77,R,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 2nd season rifle Antlered (Does not include PLO),559.8,1171.5,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,3rd season rifle Antlered (Does not include PLO),29,NA,29,83,35,NA,NA,O,207,R,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 3rd season rifle Antlered (Does not include PLO),189.6,396.9,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,4th  season rifle Antlered (Does not include PLO),12,NA,12,21,57,NA,NA,O,321,R,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 4th  season rifle Antlered (Does not include PLO),48,100.4,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,2nd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,2,R,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 2nd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,3rd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,3,R,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 3rd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,4th  season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,4,R,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 4th  season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,Either Sex Muzzleloader,10,0,10,28,34,113,NA,NA,NA,NA,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 Either Sex Muzzleloader,64,133.9,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,Antlered Muzzleloader,10,NA,10,28,34,NA,NA,NA,NA,NA,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 Antlered Muzzleloader,64,133.9,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
52,Antlerless Muzzleloader,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,  438,  209,48%,38.933562970656375,-107.82856496028106,"  280,103","  133,845",52 Antlerless Muzzleloader,0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.9335629706564/-107.828564960281
53,All manners of take,246,34,280,387,72,1925,NA,NA,NA,NA,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 All manners of take,592.1,770.3,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,All Rifle,229,34,263,327,80,1481,NA,NA,NA,NA,NA,R,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 All Rifle,500.3,650.9,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,Early and Late Seasons (Includes PLOs),0,34,34,44,77,307,NA,NA,NA,NA,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 Early and Late Seasons (Includes PLOs),67.3,87.6,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,2nd Rifle Seasons,126,0,126,167,76,779,NA,O,2,R,Included,Included,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 2nd Rifle Seasons,255.5,332.4,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,3rd Rifle Seasons,96,0,96,107,89,373,NA,O,3,R,Included,Included,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 3rd Rifle Seasons,163.7,213,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,4th Rifle Seasons,7,0,7,9,78,22,NA,O,4,R,Included,Included,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 4th Rifle Seasons,13.8,17.9,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,All Archery Seasons,13,0,13,47,29,380,NA,NA,NA,A,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 All Archery Seasons,71.9,93.5,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,2nd season rifle Antlered (Does not include PLO),81,NA,81,105,77,NA,NA,O,79,R,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 2nd season rifle Antlered (Does not include PLO),160.7,209,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,3rd season rifle Antlered (Does not include PLO),66,NA,66,73,91,NA,NA,O,210,R,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 3rd season rifle Antlered (Does not include PLO),111.7,145.3,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,4th  season rifle Antlered (Does not include PLO),7,NA,7,9,78,NA,NA,O,323,R,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 4th  season rifle Antlered (Does not include PLO),13.8,17.9,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,2nd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,2,R,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 2nd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,3rd season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,3,R,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 3rd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,4th  season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,4,R,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 4th  season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,Either Sex Muzzleloader,4,0,4,13,32,64,NA,NA,NA,NA,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 Either Sex Muzzleloader,19.9,25.9,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,Antlered Muzzleloader,4,NA,4,13,32,NA,NA,NA,NA,NA,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 Antlered Muzzleloader,19.9,25.9,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
53,Antlerless Muzzleloader,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 Antlerless Muzzleloader,0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
54,All manners of take,272,100,371,651,57,3323,NA,NA,NA,NA,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 All manners of take,678.4,873.2,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,All Rifle,251,82,333,518,64,2463,NA,NA,NA,NA,NA,R,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 All Rifle,539.8,694.8,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,Early and Late Seasons (Includes PLOs),0,16,16,25,67,191,NA,NA,NA,NA,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 Early and Late Seasons (Includes PLOs),26.1,33.5,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,2nd Rifle Seasons,168,21,189,352,54,1746,NA,O,2,R,Included,Included,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 2nd Rifle Seasons,366.8,472.2,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,3rd Rifle Seasons,69,45,114,126,90,473,NA,O,3,R,Included,Included,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 3rd Rifle Seasons,131.3,169,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,4th Rifle Seasons,14,0,14,15,91,53,NA,O,4,R,Included,Included,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 4th Rifle Seasons,15.6,20.1,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,All Archery Seasons,11,8,20,74,27,557,NA,NA,NA,A,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 All Archery Seasons,77.1,99.3,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,2nd season rifle Antlered (Does not include PLO),168,NA,168,327,51,NA,NA,O,80,R,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 2nd season rifle Antlered (Does not include PLO),340.8,438.6,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,3rd season rifle Antlered (Does not include PLO),69,NA,69,79,87,NA,NA,O,211,R,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 3rd season rifle Antlered (Does not include PLO),82.3,106,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,4th  season rifle Antlered (Does not include PLO),14,NA,14,15,91,NA,NA,O,324,R,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 4th  season rifle Antlered (Does not include PLO),15.6,20.1,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,2nd season rifle Antlerless (Does not include PLO),NA,19,19,25,76,NA,FALSE,O,2,R,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 2nd season rifle Antlerless (Does not include PLO),26.1,33.5,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,3rd season rifle Antlerless (Does not include PLO),NA,42,42,47,88,NA,FALSE,O,3,R,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 3rd season rifle Antlerless (Does not include PLO),49,63,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,4th  season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,4,R,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 4th  season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,Either Sex Muzzleloader,10,10,19,60,32,302,NA,NA,NA,NA,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 Either Sex Muzzleloader,62.5,80.5,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,Antlered Muzzleloader,10,NA,10,43,22,NA,NA,NA,NA,NA,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 Antlered Muzzleloader,44.8,57.7,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
54,Antlerless Muzzleloader,NA,10,10,17,56,NA,NA,NA,NA,NA,NA,NA,NA,  960,  745,78%,38.64688732396949,-107.11986410248096,"  614,130","  477,115",54 Antlerless Muzzleloader,17.7,22.8,https://webmap.onxmaps.com/hunt/map#9.45/38.6468873239695/-107.119864102481
55,All manners of take,308,151,459,695,66,3183,NA,NA,NA,NA,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 All manners of take,475.6,532.6,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,All Rifle,245,129,374,537,70,2150,NA,NA,NA,NA,NA,R,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 All Rifle,367.5,411.5,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,Early and Late Seasons (Includes PLOs),0,9,9,13,66,69,NA,NA,NA,NA,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 Early and Late Seasons (Includes PLOs),8.9,10,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,2nd Rifle Seasons,137,63,200,332,60,1412,NA,O,2,R,Included,Included,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 2nd Rifle Seasons,227.2,254.4,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,3rd Rifle Seasons,86,57,144,169,85,603,NA,O,3,R,Included,Included,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 3rd Rifle Seasons,115.6,129.5,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,4th Rifle Seasons,21,0,21,23,93,66,NA,O,4,R,Included,Included,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 4th Rifle Seasons,15.7,17.6,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,All Archery Seasons,25,6,31,83,38,666,NA,NA,NA,A,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 All Archery Seasons,56.8,63.6,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,2nd season rifle Antlered (Does not include PLO),137,NA,137,231,59,NA,NA,O,82,R,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 2nd season rifle Antlered (Does not include PLO),158.1,177,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,3rd season rifle Antlered (Does not include PLO),86,NA,86,102,85,NA,NA,O,212,R,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 3rd season rifle Antlered (Does not include PLO),69.8,78.2,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,4th  season rifle Antlered (Does not include PLO),21,NA,21,23,93,NA,NA,O,325,R,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 4th  season rifle Antlered (Does not include PLO),15.7,17.6,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,2nd season rifle Antlerless (Does not include PLO),NA,60,60,101,59,NA,FALSE,O,2,R,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 2nd season rifle Antlerless (Does not include PLO),69.1,77.4,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,3rd season rifle Antlerless (Does not include PLO),NA,52,52,67,78,NA,FALSE,O,3,R,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 3rd season rifle Antlerless (Does not include PLO),45.8,51.3,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,4th  season rifle Antlerless (Does not include PLO),NA,0,0,0,0,NA,FALSE,O,4,R,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 4th  season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,Either Sex Muzzleloader,38,16,54,75,72,368,NA,NA,NA,NA,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 Either Sex Muzzleloader,51.3,57.5,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,Antlered Muzzleloader,38,NA,38,53,72,NA,NA,NA,NA,NA,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 Antlered Muzzleloader,36.3,40.6,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
55,Antlerless Muzzleloader,NA,16,16,22,73,NA,NA,NA,NA,NA,NA,NA,NA,"1,461","1,305",89%,38.80193101155206,-106.7136632145711,"  935,251","  835,098",55 Antlerless Muzzleloader,15.1,16.9,https://webmap.onxmaps.com/hunt/map#9.45/38.8019310115521/-106.713663214571
56,All manners of take,97,14,111,344,32,1476,NA,NA,NA,NA,NA,NA,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 All manners of take,867.9,1236,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,All Rifle,77,14,91,274,33,1080,NA,NA,NA,NA,NA,R,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 All Rifle,691.3,984.5,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,All High Country Rifle Seasons,2,0,2,5,39,13,NA,NA,NA,E,1,R,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 All High Country Rifle Seasons,12.6,18,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,Early and Late Seasons (Includes PLOs),2,0,2,7,25,25,NA,NA,NA,NA,NA,NA,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 Early and Late Seasons (Includes PLOs),17.7,25.2,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,2nd Rifle Seasons,38,1,39,139,28,524,NA,O,2,R,Included,Included,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 2nd Rifle Seasons,350.7,499.4,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,3rd Rifle Seasons,37,4,41,115,36,399,NA,O,3,R,Included,Included,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 3rd Rifle Seasons,290.1,413.2,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,All Archery Seasons,8,0,8,41,19,259,NA,NA,NA,A,NA,NA,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 All Archery Seasons,103.4,147.3,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,All Whitetail Only Seasons,0,0,0,2,0,12,NA,NA,NA,NA,white tailed deer only,NA,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 All Whitetail Only Seasons,5,7.2,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,All Whitetail Only Rifle Seasons,0,0,0,2,0,12,NA,NA,NA,R,white tailed deer only,NA,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 All Whitetail Only Rifle Seasons,5,7.2,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,"All Damage, Auction/Raffle & Misc. Hunts",0,9,9,13,67,133,NA,NA,NA,NA,NA,NA,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123","56 All Damage, Auction/Raffle & Misc. Hunts",32.8,46.7,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,2nd season rifle Antlered (Does not include PLO),38,NA,38,134,28,NA,NA,O,84,R,NA,NA,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 2nd season rifle Antlered (Does not include PLO),338.1,481.5,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
56,3rd season rifle Antlered (Does not include PLO),37,NA,37,107,35,NA,NA,O,214,R,NA,NA,NA,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 3rd season rifle Antlered (Does not include PLO),269.9,384.5,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
