GMUID,percent_public,Acres,Acres Public
45,89.2,"361,390","322,174"
55,89.3,"935,251","835,098"
501,89.5,"536,795","480,190"
471,89.6,"110,661","99,103"
561,91.1,"133,739","121,896"
47,91.5,"313,938","287,199"
34,92.1,"208,574","191,998"
48,92.1,"319,414","294,257"
24,92.8,"478,687","443,964"
76,94.4,"995,744","939,632"
201,99.2,"269,009","266,877"
